filing_date,reporting_date,ticker,fund_name,series_id,series_name,class_id,class_name,cik,name,lei,title,cusip,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,fairValLevel,isin
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,CoStar Group Inc,N/A,CoStar Group Inc,22160N109,1036700.0,NS,USD,74217353.0,3.517817272282,Long,EC,CORP,US,1,US22160N1090
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Tesla Inc,54930043XZGB27CTOV49,Tesla Inc,88160R101,615000.0,NS,USD,248361600.0,11.77205452546,Long,EC,CORP,US,1,US88160R1014
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Space Exploration Technologies,N/A,SPACE EXPLORATION TECHNOLOGIES,000000000,143170.0,NS,USD,26486450.0,1.255427302715,Long,EC,CORP,US,3,
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,FactSet Research Systems Inc,549300ZSJE7NBK6K9P30,FactSet Research Systems Inc,303075105,125000.0,NS,USD,60035000.0,2.845590032583,Long,EC,CORP,US,1,US3030751057
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Live Nation Entertainment Inc,5493007B9BM9ZXJINO78,Live Nation Entertainment Inc,538034109,195000.0,NS,USD,25252500.0,1.19693949026,Long,EC,CORP,US,1,US5380341090
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Figs Inc,N/A,Figs Inc,30260D103,8493569.0,NS,USD,52575192.11,2.492003708326,Long,EC,CORP,US,1,US30260D1037
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Space Exploration Technologies,N/A,SPACE EXPLORATION TECHNOLOGIES,000000000,629570.0,NS,USD,116470450.0,5.520565530281,Long,EC,CORP,US,3,
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Shopify Inc,549300HGQ43STJLLP808,Shopify Inc,82509L107,675000.0,NS,USD,71772750.0,3.40194589841,Long,EC,CORP,CA,1,CA82509L1076
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Birkenstock Holding Plc,529900CQ8LQKQ7LIT631,Birkenstock Holding Plc,000000000,930000.0,NS,USD,52693800.0,2.497625586056,Long,EC,CORP,JE,1,JE00BS44BN30
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Verisk Analytics Inc,549300I1YSWNIRKBWP67,Verisk Analytics Inc,92345Y106,160000.0,NS,USD,44068800.0,2.088810494343,Long,EC,CORP,US,1,US92345Y1064
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Choice Hotels International Inc,5493003CYRY5RFGTIR97,Choice Hotels International Inc,169905106,400000.0,NS,USD,56792000.0,2.691875558098,Long,EC,CORP,US,1,US1699051066
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,ANSYS Inc,549300VJV8H15Z5FJ571,ANSYS Inc,03662Q105,100000.0,NS,USD,33733000.0,1.598905447974,Long,EC,CORP,US,1,US03662Q1058
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Jefferies Financial Group Inc,549300HOF34RGOJ5YL07,Jefferies Financial Group Inc,47233W109,250000.0,NS,USD,19600000.0,0.929017483778,Long,EC,CORP,US,1,US47233W1099
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Las Vegas Sands Corp,549300DUOO1KXOHPM605,Las Vegas Sands Corp,517834107,410000.0,NS,USD,21057600.0,0.998106049306,Long,EC,CORP,US,1,US5178341070
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,Space Exploration Technologies,N/A,SPACE EXPLORATION TECHNOLOGIES,000000000,29630.0,NS,USD,54815500.0,2.598191728675,Long,EP,CORP,US,3,
2025-02-28,2024-12-31,BFGFX,BARON SELECT FUNDS,S000022521,Baron Focused Growth Fund,C000065146,Retail Shares,0001217673,IDEXX Laboratories Inc,OGMTXK0LUU1HKV2P0J84,IDEXX Laboratories Inc,45168D104,178500.0,NS,USD,73799040.0,3.497989716635,Long,EC,CORP,US,1,US45168D1046
